period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2023-03,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,592926,MMBtu per Mcf,621980,78859,81719,592926,Mcf,621980,1.049,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
2023-04,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,693260,MMBtu per Mcf,722376,96895,100409,693260,Mcf,722376,1.042,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
2022-12,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
2023-08,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,922648,MMBtu per Mcf,974317,123101,127571,922648,Mcf,974317,1.056,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
2023-05,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,709603,MMBtu per Mcf,742245,94480,97957,709603,Mcf,742245,1.046,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
2023-06,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,790609,MMBtu per Mcf,830140,109137,113095,790609,Mcf,830140,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
2023-02,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,63331,MMBtu per Mcf,66307,6979,7231,63331,Mcf,66307,1.047,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
2023-01,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
2023-11,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,585629,MMBtu per Mcf,615496,80320,83233,585629,Mcf,615496,1.051,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
2022-08,63259,Delta Energy Park,NG,Natural Gas,MI,Michigan,ALL,1004884,MMBtu per Mcf,1061158,131971,138189,1004884,Mcf,1061158,1.056,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.6577829999999,42.6906440000001,9393.0,21371.0,63259.0,Delta Energy Park,56155.0,Lansing Board of Water and Light,Electric Utility,3725 South Canal Road,Lansing,Eaton,Michigan,48917.0,natural gas,Natural Gas = 223.9 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,263.2,223.9,0.0,0.0,0.0,0.0,0.0,0.0,223.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.657783,42.690644
