period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2020-02,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,20956,MMBtu per Mcf,21543,1685.27,2048.89,20956,Mcf,21543,1.028,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
2020-07,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,4156517,MMBtu per Mcf,4277056,407159.14,438011.42,4156517,Mcf,4277056,1.029,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
2020-08,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,2716847,MMBtu per Mcf,2795636,264300.94,285850,2716847,Mcf,2795636,1.029,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
2020-03,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,577639,MMBtu per Mcf,593813,43697,54411,577639,Mcf,593813,1.028,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
2019-07,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,4465566,MMBtu per Mcf,4577205,411000.61,444097.01,4465566,Mcf,4577205,1.025,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
2023-09,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,1621489,MMBtu per Mcf,1663648,149472.32,169047.64,1621489,Mcf,1663648,1.026,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
2019-01,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,569821,MMBtu per Mcf,582927,56294.21,61849.11,569821,Mcf,582927,1.023,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
2022-01,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,88307,MMBtu per Mcf,90603,8235.13,9067.77,88307,Mcf,90603,1.026,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
2020-09,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,1279527,MMBtu per Mcf,1320472,132215.92,143157.52,1279527,Mcf,1320472,1.032,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
2022-11,26,E C Gaston,NG,Natural Gas,AL,Alabama,ALL,406512,MMBtu per Mcf,417081,23773.09,28995.25,406512,Mcf,417081,1.026,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-86.4580559999999,33.2442110000001,1218.0,11587.0,26.0,E C Gaston,195.0,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,0.0,0.0,832.0,0.0,0.0,0.0,1020.0,0.0,16.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-86.458056,33.244211
