period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2021-03,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,79,MMBtu per Mcf,79,5.68,5.68,79,Mcf,79,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
2022-08,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,237,MMBtu per Mcf,237,16.85,16.85,237,Mcf,237,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
2020-03,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,14,MMBtu per Mcf,14,1.02,1.02,14,Mcf,14,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
2021-01,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,49,MMBtu per Mcf,49,3.54,3.54,49,Mcf,49,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
2021-11,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,116,MMBtu per Mcf,116,8.35,8.35,116,Mcf,116,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
2021-06,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,104,MMBtu per Mcf,104,7.42,7.42,104,Mcf,104,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
2022-12,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,190,MMBtu per Mcf,190,13.52,13.52,190,Mcf,190,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
2022-05,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,128,MMBtu per Mcf,128,9.13,9.13,128,Mcf,128,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
2020-08,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,20,MMBtu per Mcf,20,1.45,1.45,20,Mcf,20,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
2022-03,7283,Paragould Turbine,NG,Natural Gas,AR,Arkansas,ALL,164,MMBtu per Mcf,164,11.66,11.66,164,Mcf,164,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.5092289999999,36.0242720000001,2040,13607,7283,Paragould Turbine,14446,Paragould Light & Water Comm,Electric Utility,1901 Jones Road,Paragould,Greene,Arkansas,72450,natural gas,"Natural Gas = 13.6 MW, Petroleum = 0.2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,13.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.2,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-90.509229,36.024272
