period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2020-12,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,2245164,MMBtu per Mcf,2323745,333966,343670,2245164,Mcf,2323745,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
2020-08,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,2135256,MMBtu per Mcf,2209990,301372,311545,2135256,Mcf,2209990,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
2019-03,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,1498725,MMBtu per Mcf,1590148,212199,215604,1498725,Mcf,1590148,1.061,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
2019-05,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,2216633,MMBtu per Mcf,2351848,311306,318102,2216633,Mcf,2351848,1.061,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
2019-08,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,2191339,MMBtu per Mcf,2325011,305867,313959,2191339,Mcf,2325011,1.061,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
2021-11,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,1802263,MMBtu per Mcf,1865342,262399,269769,1802263,Mcf,1865342,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
2020-10,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,2322467,MMBtu per Mcf,2403753,319401,329152,2322467,Mcf,2403753,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
2023-03,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
2022-03,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,1886693,MMBtu per Mcf,1952727,281862,289866,1886693,Mcf,1952727,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
2023-09,60768,Gila River Power Block 2,NG,Natural Gas,AZ,Arizona,ALL,2244565,MMBtu per Mcf,2323125,320804,329750,2244565,Mcf,2323125,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-112.694444,32.9750000000001,7091,19278,60768,Gila River Power Block 2,16572,Salt River Project,Electric Utility,1250 East Watermelon Street,Gila Bend,Maricopa,Arizona,85337,natural gas,Natural Gas = 570 MW,Natural Gas Fired Combined Cycle,619.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-112.694444,32.975
