period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2023-05,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
2023-09,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,56521,MMBtu per Mcf,62908,301,301,1230,Mcf,1369,1.113,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
2020-04,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,3458,MMBtu per Mcf,3804,0,0,0,Mcf,0,1.1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
2022-12,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,165793,MMBtu per Mcf,182538,1441,1441,5955,Mcf,6556,1.101,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
2020-09,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,4147,MMBtu per Mcf,4603,0,0,0,Mcf,0,1.11,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
2022-06,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,51256,MMBtu per Mcf,55459,478,478,2010,Mcf,2175,1.082,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
2019-04,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
2021-07,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
2021-12,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,144307,MMBtu per Mcf,158593,1290,1290,5340,Mcf,5869,1.099,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
2019-11,58081,Western Sugar Coop- Ft Morgan,NG,Natural Gas,CO,Colorado,ALL,17393,MMBtu per Mcf,38612,237,237,486,Mcf,1078,2.22,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-103.8069,40.263,5483.0,17036.0,58081.0,Western Sugar Coop- Ft Morgan,57315.0,Western Sugar Cooperative,Industrial CHP,18317 Highway 144,Fort Morgan,Morgan,Colorado,80701.0,natural gas,Natural Gas = 3 MW,Natural Gas Steam Turbine,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-103.8069,40.263
