period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-12,59701,Subase Microgrid Project,NG,Natural Gas,CT,Connecticut,ALL,146458,MMBtu per Mcf,150852,19133,19251,146458,Mcf,150852,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.085993,41.4000080000001,6835.0,18378.0,59701.0,Subase Microgrid Project,4180.0,Connecticut Mun Elec Engy Coop,Electric Utility,Naval Submarine Base New Londo,Groton,New London,Connecticut,6340.0,natural gas,Natural Gas = 7.4 MW,Other Natural Gas,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.085993,41.400008
2022-04,66152,Connecticut College,NG,Natural Gas,CT,Connecticut,ALL,4346,MMBtu per Mcf,4433,621.39,621.39,4346,Mcf,4433,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.103214,41.38151,10617.0,23382.0,66152.0,Connecticut College,57128.0,Bloom Energy,IPP Non-CHP,5 Resorvoir St,New London,New London,Connecticut,6320.0,natural gas,Natural Gas = 1.2 MW,Other Natural Gas,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.103214,41.38151
2022-12,66152,Connecticut College,NG,Natural Gas,CT,Connecticut,ALL,4631,MMBtu per Mcf,4724,662.16,662.16,4631,Mcf,4724,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.103214,41.38151,10617.0,23382.0,66152.0,Connecticut College,57128.0,Bloom Energy,IPP Non-CHP,5 Resorvoir St,New London,New London,Connecticut,6320.0,natural gas,Natural Gas = 1.2 MW,Other Natural Gas,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.103214,41.38151
2022-09,66152,Connecticut College,NG,Natural Gas,CT,Connecticut,ALL,6296,MMBtu per Mcf,6422,900.31,900.31,6296,Mcf,6422,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.103214,41.38151,10617.0,23382.0,66152.0,Connecticut College,57128.0,Bloom Energy,IPP Non-CHP,5 Resorvoir St,New London,New London,Connecticut,6320.0,natural gas,Natural Gas = 1.2 MW,Other Natural Gas,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.103214,41.38151
2022-11,66152,Connecticut College,NG,Natural Gas,CT,Connecticut,ALL,5540,MMBtu per Mcf,5651,792.18,792.18,5540,Mcf,5651,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.103214,41.38151,10617.0,23382.0,66152.0,Connecticut College,57128.0,Bloom Energy,IPP Non-CHP,5 Resorvoir St,New London,New London,Connecticut,6320.0,natural gas,Natural Gas = 1.2 MW,Other Natural Gas,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.103214,41.38151
2022-06,66152,Connecticut College,NG,Natural Gas,CT,Connecticut,ALL,5921,MMBtu per Mcf,6039,846.64,846.64,5921,Mcf,6039,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.103214,41.38151,10617.0,23382.0,66152.0,Connecticut College,57128.0,Bloom Energy,IPP Non-CHP,5 Resorvoir St,New London,New London,Connecticut,6320.0,natural gas,Natural Gas = 1.2 MW,Other Natural Gas,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.103214,41.38151
2022-03,66152,Connecticut College,NG,Natural Gas,CT,Connecticut,ALL,5492,MMBtu per Mcf,5602,785.25,785.25,5492,Mcf,5602,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.103214,41.38151,10617.0,23382.0,66152.0,Connecticut College,57128.0,Bloom Energy,IPP Non-CHP,5 Resorvoir St,New London,New London,Connecticut,6320.0,natural gas,Natural Gas = 1.2 MW,Other Natural Gas,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.103214,41.38151
2022-02,66152,Connecticut College,NG,Natural Gas,CT,Connecticut,ALL,4282,MMBtu per Mcf,4368,612.33,612.33,4282,Mcf,4368,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.103214,41.38151,10617.0,23382.0,66152.0,Connecticut College,57128.0,Bloom Energy,IPP Non-CHP,5 Resorvoir St,New London,New London,Connecticut,6320.0,natural gas,Natural Gas = 1.2 MW,Other Natural Gas,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.103214,41.38151
2022-08,66152,Connecticut College,NG,Natural Gas,CT,Connecticut,ALL,7121,MMBtu per Mcf,7263,1018.23,1018.23,7121,Mcf,7263,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.103214,41.38151,10617.0,23382.0,66152.0,Connecticut College,57128.0,Bloom Energy,IPP Non-CHP,5 Resorvoir St,New London,New London,Connecticut,6320.0,natural gas,Natural Gas = 1.2 MW,Other Natural Gas,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.103214,41.38151
2022-05,66152,Connecticut College,NG,Natural Gas,CT,Connecticut,ALL,4584,MMBtu per Mcf,4676,655.5,655.5,4584,Mcf,4676,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-72.103214,41.38151,10617.0,23382.0,66152.0,Connecticut College,57128.0,Bloom Energy,IPP Non-CHP,5 Resorvoir St,New London,New London,Connecticut,6320.0,natural gas,Natural Gas = 1.2 MW,Other Natural Gas,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-72.103214,41.38151
