period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2021-02,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,2746,MMBtu per Mcf,2828,447.23,447.23,2746,Mcf,2828,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
2021-12,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,8054,MMBtu per Mcf,8296,1311.9,1311.9,8054,Mcf,8296,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
2021-03,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,2296,MMBtu per Mcf,2365,373.95,373.95,2296,Mcf,2365,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
2020-02,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,4478,MMBtu per Mcf,4639,666.83,666.83,4478,Mcf,4639,1.036,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
2019-06,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,5741,MMBtu per Mcf,5942,937.46,937.46,5741,Mcf,5942,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
2020-06,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,8277,MMBtu per Mcf,8575,1232.44,1232.44,8277,Mcf,8575,1.036,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
2020-08,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,10852,MMBtu per Mcf,11243,1615.83,1615.83,10852,Mcf,11243,1.036,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
2022-06,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,4902,MMBtu per Mcf,5049,705.5,705.5,4902,Mcf,5049,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
2020-09,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,6203,MMBtu per Mcf,6426,923.67,923.67,6203,Mcf,6426,1.036,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
2020-12,63700,AGT001 Centerville Fuel Cell,NG,Natural Gas,DE,Delaware,ALL,3390,MMBtu per Mcf,3512,504.77,504.77,3390,Mcf,3512,1.036,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-75.62208,39.75787,11212.0,21754.0,63700.0,AGT001 Centerville Fuel Cell,62150.0,"2016 ESA Project Company, LLC",IPP Non-CHP,2850 Centerville Road,Wilmington,New Castle,Delaware,19808.0,natural gas,Natural Gas = 1.3 MW,Other Natural Gas,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-75.62208,39.75787
