period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-09,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
2022-10,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
2022-08,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
2022-12,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
2022-05,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
2022-03,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
2022-01,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
2022-02,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
2022-06,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
2022-11,66190,Inst and Envir Dir Marine Logistics Base,NG,Natural Gas,GA,Georgia,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-84.048594,31.549425,10632.0,23397.0,66190.0,Inst and Envir Dir Marine Logistics Base,59135.0,Inst and Envir Div Marine Logistics Base,IPP CHP,411 N Radford Loop,Albany,Dougherty,Georgia,31704.0,biomass,Biomass = 1.8 MW,Landfill Gas,1.9,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-84.048594,31.549425
