period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-12,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,41250,MMBtu per Mcf,44880,3449,3449,15676,Mcf,17055,1.088,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
2019-08,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,36969,MMBtu per Mcf,40296,3007,3007,13641,Mcf,14869,1.09,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
2020-12,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,43166,MMBtu per Mcf,47914,3891,3891,17334,Mcf,19241,1.11,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
2022-10,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,42494,MMBtu per Mcf,46021,3744,3744,17095,Mcf,18514,1.083,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
2023-11,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,42091,MMBtu per Mcf,46258,3829,3829,17228,Mcf,18934,1.099,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
2021-05,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,36305,MMBtu per Mcf,39681,3034,3034,13726,Mcf,15003,1.093,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
2019-12,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,44445,MMBtu per Mcf,48890,3778,3778,16984,Mcf,18682,1.1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
2022-01,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,42952,MMBtu per Mcf,46775,3965,4045.92,18372,Mcf,20007,1.089,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
2020-06,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
2022-05,58138,Otter Creek Ethanol Poet - Ashton,NG,Natural Gas,IA,Iowa,ALL,42738,MMBtu per Mcf,45858,3887,3887,17913,Mcf,19221,1.073,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-95.809722,43.275,5606.0,17085.0,58138.0,Otter Creek Ethanol Poet - Ashton,58093.0,Otter Creek Ethanol LLC - Poet Ashton,Industrial CHP,4970 260th St,Ashton,Osceola,Iowa,51232.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Fired Combustion Turbine,7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-95.809722,43.275
