period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2023-04,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,674556,MMBtu per Mcf,714355,106860,109593,674556,Mcf,714355,1.059,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
2022-07,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,4560042,MMBtu per Mcf,4847325,747668,767389,4560042,Mcf,4847325,1.063,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
2022-12,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,2931755,MMBtu per Mcf,3145773,482677,492853,2931755,Mcf,3145773,1.073,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
2022-05,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,3263027,MMBtu per Mcf,3449020,540923,555029,3263027,Mcf,3449020,1.057,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
2023-01,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,4882577,MMBtu per Mcf,5190179,804047,821956,4882577,Mcf,5190179,1.063,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
2022-08,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,5176447,MMBtu per Mcf,5492210,846761,868585,5176447,Mcf,5492210,1.061,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
2022-10,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,4307680,MMBtu per Mcf,4617833,715955,733161,4307680,Mcf,4617833,1.072,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
2023-03,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,3307123,MMBtu per Mcf,3495629,540899,552313,3307123,Mcf,3495629,1.057,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
2023-06,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,3912617,MMBtu per Mcf,4147374,631718,647810,3912617,Mcf,4147374,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
2023-09,62926,"Jackson Generation, LLC",NG,Natural Gas,IL,Illinois,ALL,4240451,MMBtu per Mcf,4499119,700010,712040,4240451,Mcf,4499119,1.061,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-88.110626,41.4385360000001,9856.0,21091.0,62926.0,"Jackson Generation, LLC",62787.0,"Jackson Generation, LLC",IPP Non-CHP,24650 South Brandon Road,Elwood,Will,Illinois,60421.0,natural gas,Natural Gas = 1200 MW,Natural Gas Fired Combined Cycle,1288.6,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-88.110626,41.438536
