period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-12,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,131943,MMBtu per Mcf,137221,3044.32,3044.32,131943,Mcf,137221,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
2022-01,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,129319,MMBtu per Mcf,134492,2983.77,2983.77,129319,Mcf,134492,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
2020-08,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,123985,MMBtu per Mcf,128944,2885.3,2885.3,123985,Mcf,128944,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
2022-08,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,124364,MMBtu per Mcf,129339,2869.46,2869.46,124364,Mcf,129339,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
2020-06,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,130412,MMBtu per Mcf,135628,3034.87,3034.87,130412,Mcf,135628,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
2020-07,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,139887,MMBtu per Mcf,145482,3255.38,3255.38,139887,Mcf,145482,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
2020-12,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,120775,MMBtu per Mcf,125606,2810.62,2810.62,120775,Mcf,125606,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
2022-03,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,101383,MMBtu per Mcf,105438,2339.22,2339.22,101383,Mcf,105438,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
2020-11,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,85608,MMBtu per Mcf,89032,1992.21,1992.21,85608,Mcf,89032,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
2022-07,63921,POET Biorefining - Shelbyville,NG,Natural Gas,IN,Indiana,ALL,128612,MMBtu per Mcf,133756,2967.47,2967.47,128612,Mcf,133756,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-85.8219999999999,39.5600000000001,11581.0,21907.0,63921.0,POET Biorefining - Shelbyville,63589.0,POET Biorefing- Shelbyville,Industrial Non-CHP,2373 West 300 North,Shelbyville,Shelby,Indiana,46176.0,natural gas,Natural Gas = 5.5 MW,Natural Gas Steam Turbine,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-85.822,39.56
