period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-10,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,114370,MMBtu per Mcf,121232,11021.26,11324.72,114370,Mcf,121232,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
2022-02,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,89540,MMBtu per Mcf,94912,8628.52,8866.1,89540,Mcf,94912,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
2022-09,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,89431,MMBtu per Mcf,94797,8618.03,8855.32,89431,Mcf,94797,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
2022-06,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,96629,MMBtu per Mcf,102427,9311.64,9568.03,96629,Mcf,102427,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
2022-11,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,120370,MMBtu per Mcf,127592,11599.47,11918.85,120370,Mcf,127592,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
2022-01,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,86846,MMBtu per Mcf,92057,8369.15,8599.59,86846,Mcf,92057,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
2022-12,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,97257,MMBtu per Mcf,103092,9372.16,9630.21,97257,Mcf,103092,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
2022-03,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,87367,MMBtu per Mcf,92609,8419.17,8650.98,87367,Mcf,92609,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
2022-07,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,131829,MMBtu per Mcf,139739,12703.73,13053.51,131829,Mcf,139739,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
2022-05,65512,"Kansas Ethanol, LLC",NG,Natural Gas,KS,Kansas,ALL,86753,MMBtu per Mcf,91958,8359.94,8590.13,86753,Mcf,91958,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-98.192128,38.2861730000001,11796.0,23074.0,65512.0,"Kansas Ethanol, LLC",64837.0,"Kansas Ethanol, LLC",Industrial CHP,1630 Ave Q,Lyons,Rice,Kansas,67554.0,natural gas,Natural Gas = 11.9 MW,Natural Gas Fired Combustion Turbine,13.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-98.192128,38.286173
