period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-02,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2023-09,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,135490,MMBtu per Mcf,139148,7679,11849,135490,Mcf,139148,1.027,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2023-10,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,51796,MMBtu per Mcf,52521,1350,4248,51796,Mcf,52521,1.014,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2023-11,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,82313,MMBtu per Mcf,84042,5892.89,7621,82313,Mcf,84042,1.021,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2022-01,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2022-12,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,847276,MMBtu per Mcf,856596,62791,72768,847276,Mcf,856596,1.011,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2022-11,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,468250,MMBtu per Mcf,472933,35165,42781,468250,Mcf,472933,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2023-04,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,85095,MMBtu per Mcf,85776,4865,8176,85095,Mcf,85776,1.008,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2022-07,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,716192,MMBtu per Mcf,727651,54949,64411,716192,Mcf,727651,1.016,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2023-03,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,32637,MMBtu per Mcf,32898,-897,2531,32637,Mcf,32898,1.008,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2023-06,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,232658,MMBtu per Mcf,236148,17331,21756,232658,Mcf,236148,1.015,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2022-10,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,57210,MMBtu per Mcf,57782,3174,5111,57210,Mcf,57782,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2022-08,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,692390,MMBtu per Mcf,706238,55739,64951,692390,Mcf,706238,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2023-05,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,400980,MMBtu per Mcf,404990,31109,36943,400980,Mcf,404990,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2023-01,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,0,MMBtu per Mcf,0,-1497.13,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2022-03,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2022-06,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,900811,MMBtu per Mcf,935943,70270,81599,900811,Mcf,935943,1.039,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2022-09,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,247129,MMBtu per Mcf,249600,17182,22094,247129,Mcf,249600,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
2023-07,6639,R D Green,NG,Natural Gas,KY,Kentucky,ALL,519711,MMBtu per Mcf,532704,39300,47138,519711,Mcf,532704,1.025,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-87.4999999999999,37.6461,334.0,13503.0,6639.0,R D Green,1692.0,Big Rivers Electric Corp,Electric Utility,9000 Highway 2096,Robards,Webster,Kentucky,42452.0,natural gas,"Coal = 231 MW, Natural Gas = 223 MW",Conventional Steam Coal; Natural Gas Steam Turbine;,586.0,454.0,0.0,0.0,231.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-87.5,37.6461
