period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2020-12,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,134973,15385.05,16655.41,0,,134973,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2021-11,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,130314,14734.78,15708.35,0,,130314,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2020-04,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,116332,13260.21,14355.11,0,,116332,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2019-09,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,170824,19182.97,21023.41,0,,170824,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2020-02,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,129665,14780.02,16000.42,0,,129665,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2021-04,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,143106,16181.11,17250.24,0,,143106,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2021-10,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,170982,19333.08,20610.48,0,,170982,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2019-12,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,130931,14703.03,16113.66,0,,130931,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2022-04,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,55492,16263.82,17318.03,0,,55492,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2020-03,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,121293,13825.66,14967.25,0,,121293,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2021-02,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,120710,13648.8,14550.62,0,,120710,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2020-08,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,154936,17660.6,19118.85,0,,154936,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2020-06,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,115995,13221.87,14313.61,0,,115995,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2022-08,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,62453,18303.93,19490.38,0,,62453,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2020-05,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,104138,11870.27,12850.4,0,,104138,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2021-03,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,147006,16622.11,17720.38,0,,147006,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
2019-10,60610,St. Mary Clean Energy Center,WH,Other,LA,Louisiana,ALL,0,,149596,16799.06,18410.78,0,,149596,0,,MMBtu,megawatthours,megawatthours,MMBtu,-91.4706189999999,29.6845500000001,6780.0,19143.0,60610.0,St. Mary Clean Energy Center,3265.0,Cleco Power LLC,Electric Utility,155 Power Island Lane,Centerville,St Mary,Louisiana,70522.0,other,Other = 41.3 MW,All Other,50.9,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,"EIA-860, EIA-860M and EIA-923",202305.0,-91.470619,29.68455
