period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-11,66018,Norton Powerhouse 2,NG,Natural Gas,MA,Massachusetts,ALL,44802,MMBtu per Mcf,46146,3059.98,3279.94,36217,Mcf,37304,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.804,42.299,10551.0,23316.0,66018.0,Norton Powerhouse 2,65160.0,Norton Powerhouse 2,Industrial CHP,1 New Bond Street,Worcester,Worcester,Massachusetts,1615.0,natural gas,Natural Gas = 3.3 MW,Natural Gas Fired Combustion Turbine,4.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.804,42.299
2022-12,66018,Norton Powerhouse 2,NG,Natural Gas,MA,Massachusetts,ALL,58667,MMBtu per Mcf,60427,4007.02,4295.06,47426,Mcf,48849,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.804,42.299,10551.0,23316.0,66018.0,Norton Powerhouse 2,65160.0,Norton Powerhouse 2,Industrial CHP,1 New Bond Street,Worcester,Worcester,Massachusetts,1615.0,natural gas,Natural Gas = 3.3 MW,Natural Gas Fired Combustion Turbine,4.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.804,42.299
2021-03,60903,Salem Harbor Power Development LP,NG,Natural Gas,MA,Massachusetts,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.878239,42.5254860000001,7365.0,19386.0,60903.0,Salem Harbor Power Development LP,59928.0,Salem Harbor Power Development LP,IPP Non-CHP, ,Salem,Essex,Massachusetts,1970.0,natural gas,Natural Gas = 675 MW,Natural Gas Fired Combined Cycle,798.2,675.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-70.878239,42.525486
2021-08,60903,Salem Harbor Power Development LP,NG,Natural Gas,MA,Massachusetts,ALL,1009458,MMBtu per Mcf,1038733,127810,132139,1009458,Mcf,1038733,1.029,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.878239,42.5254860000001,7365.0,19386.0,60903.0,Salem Harbor Power Development LP,59928.0,Salem Harbor Power Development LP,IPP Non-CHP, ,Salem,Essex,Massachusetts,1970.0,natural gas,Natural Gas = 675 MW,Natural Gas Fired Combined Cycle,798.2,675.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-70.878239,42.525486
2022-10,60903,Salem Harbor Power Development LP,NG,Natural Gas,MA,Massachusetts,ALL,182567,MMBtu per Mcf,187679,22947,23869,182567,Mcf,187679,1.028,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.878239,42.5254860000001,7365.0,19386.0,60903.0,Salem Harbor Power Development LP,59928.0,Salem Harbor Power Development LP,IPP Non-CHP, ,Salem,Essex,Massachusetts,1970.0,natural gas,Natural Gas = 675 MW,Natural Gas Fired Combined Cycle,798.2,675.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-70.878239,42.525486
2019-06,60903,Salem Harbor Station NGCC,NG,Natural Gas,MA,Massachusetts,ALL,247020,MMBtu per Mcf,255171,32984,33920,247020,Mcf,255171,1.033,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.878239,42.5254860000001,7365.0,19386.0,60903.0,Salem Harbor Power Development LP,59928.0,Salem Harbor Power Development LP,IPP Non-CHP, ,Salem,Essex,Massachusetts,1970.0,natural gas,Natural Gas = 675 MW,Natural Gas Fired Combined Cycle,798.2,675.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-70.878239,42.525486
2022-05,60903,Salem Harbor Power Development LP,NG,Natural Gas,MA,Massachusetts,ALL,303002,MMBtu per Mcf,311486,38881,39914,303002,Mcf,311486,1.028,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.878239,42.5254860000001,7365.0,19386.0,60903.0,Salem Harbor Power Development LP,59928.0,Salem Harbor Power Development LP,IPP Non-CHP, ,Salem,Essex,Massachusetts,1970.0,natural gas,Natural Gas = 675 MW,Natural Gas Fired Combined Cycle,798.2,675.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-70.878239,42.525486
2020-10,60903,Salem Harbor Station NGCC,NG,Natural Gas,MA,Massachusetts,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.878239,42.5254860000001,7365.0,19386.0,60903.0,Salem Harbor Power Development LP,59928.0,Salem Harbor Power Development LP,IPP Non-CHP, ,Salem,Essex,Massachusetts,1970.0,natural gas,Natural Gas = 675 MW,Natural Gas Fired Combined Cycle,798.2,675.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-70.878239,42.525486
2020-12,60903,Salem Harbor Station NGCC,NG,Natural Gas,MA,Massachusetts,ALL,1264800,MMBtu per Mcf,1322981,166849,171580,1264800,Mcf,1322981,1.046,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.878239,42.5254860000001,7365.0,19386.0,60903.0,Salem Harbor Power Development LP,59928.0,Salem Harbor Power Development LP,IPP Non-CHP, ,Salem,Essex,Massachusetts,1970.0,natural gas,Natural Gas = 675 MW,Natural Gas Fired Combined Cycle,798.2,675.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-70.878239,42.525486
2020-08,60903,Salem Harbor Station NGCC,NG,Natural Gas,MA,Massachusetts,ALL,1287790,MMBtu per Mcf,1335438,175509,180716,1287790,Mcf,1335438,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.878239,42.5254860000001,7365.0,19386.0,60903.0,Salem Harbor Power Development LP,59928.0,Salem Harbor Power Development LP,IPP Non-CHP, ,Salem,Essex,Massachusetts,1970.0,natural gas,Natural Gas = 675 MW,Natural Gas Fired Combined Cycle,798.2,675.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-70.878239,42.525486
