period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-07,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
2022-12,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
2022-10,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
2022-06,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
2022-04,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
2022-03,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
2022-11,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
2022-09,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
2022-01,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
2022-08,65945,Brookville Smart Bus Depot Microgrid,NG,Natural Gas,MD,Maryland,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-77.0579999999999,38.9990300000001,10522.0,23287.0,65945.0,Brookville Smart Bus Depot Microgrid,65118.0,AlphaStruxure Service Co LP,Commercial Non-CHP,8710 Brookville Rd,Silver Spring,Montgomery,Maryland,20910.0,solar,"Battery = 1.5 MW, Natural Gas = 0.6 MW, Solar = 1.7 MW",Batteries; Natural Gas Internal Combustion Engine; Solar Photovoltaic,3.8,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-77.058,38.99903
