period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2019-11,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,95851,MMBtu per Mcf,99685,2771.62,2873.08,12738,Mcf,13247,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2023-05,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,83283,MMBtu per Mcf,86614,2556.29,2657.47,11782,Mcf,12253,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2022-12,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,17368,MMBtu per Mcf,18236,531.42,551.23,2421,Mcf,2542,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2021-12,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,36969,MMBtu per Mcf,38817,1029.63,1067.96,4690,Mcf,4924,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2023-11,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,66029,MMBtu per Mcf,68670,1868.46,1934.12,8575,Mcf,8918,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2021-05,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,97808,MMBtu per Mcf,101720,2592.15,2701.77,11978,Mcf,12457,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2020-07,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,153856,MMBtu per Mcf,158472,4674.84,4849.16,21708,Mcf,22359,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2023-07,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,62976,MMBtu per Mcf,65495,1826.07,1897.13,8411,Mcf,8747,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2021-06,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,38450,MMBtu per Mcf,39988,1137.09,1178.82,5226,Mcf,5435,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2020-06,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,227697,MMBtu per Mcf,234528,7216.32,7502.91,33586,Mcf,34594,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2022-05,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,53380,MMBtu per Mcf,56049,1105.05,1175.56,5162,Mcf,5420,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2022-07,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,31594,MMBtu per Mcf,32858,962.62,999.42,4431,Mcf,4608,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2020-02,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,109373,MMBtu per Mcf,113748,3095.97,3214.01,14249,Mcf,14819,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2019-08,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,72094,MMBtu per Mcf,74257,2163.56,2245.98,10054,Mcf,10356,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
2022-10,50406,Somerset Plant,NG,Natural Gas,ME,Maine,ALL,145873,MMBtu per Mcf,151708,4390.49,4531.53,20090,Mcf,20894,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-69.647441,44.703467,2477.0,14445.0,50406.0,Somerset Plant,16190.0,Sappi Fine Paper North America-Somerset,Industrial CHP,1329 Waterville Rd,Skowhegan,Somerset,Maine,4976.0,biomass,Biomass = 99.8 MW,Wood/Wood Waste Biomass,107.1,99.8,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-69.647441,44.703467
