period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2019-01,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,1137,MMBtu per Mcf,1148,72.93,78.03,1137,Mcf,1148,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
2021-01,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
2020-03,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,457,MMBtu per Mcf,462,20.82,22.26,457,Mcf,462,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
2021-02,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
2020-08,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,684,MMBtu per Mcf,691,31.12,33.28,684,Mcf,691,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
2020-04,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,360,MMBtu per Mcf,364,16.39,17.52,360,Mcf,364,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
2021-12,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
2021-10,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
2020-02,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,478,MMBtu per Mcf,483,21.74,23.25,478,Mcf,483,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
2019-04,59664,City of West Plains Power Station,NG,Natural Gas,MO,Missouri,ALL,1206,MMBtu per Mcf,1218,77.31,82.72,1206,Mcf,1218,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-91.868611,36.748611,7946.0,18353.0,59664.0,City of West Plains Power Station,20392.0,City of West Plains - (MO),Electric Utility,1710 Old Airport Road,West Plains,Howell,Missouri,65775.0,natural gas,Natural Gas = 42 MW,Natural Gas Fired Combustion Turbine,47.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-91.868611,36.748611
