period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-09,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,2,MMBtu per Mcf,2,.16,.16,2,Mcf,2,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-11,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,2,MMBtu per Mcf,2,.15,.15,2,Mcf,2,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-02,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,2,MMBtu per Mcf,2,.15,.15,2,Mcf,2,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-01,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,1,MMBtu per Mcf,1,.19,.19,1,Mcf,1,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-10,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,2,MMBtu per Mcf,2,.13,.13,2,Mcf,2,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-12,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,2,MMBtu per Mcf,2,.18,.18,2,Mcf,2,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-07,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,3,MMBtu per Mcf,3,.22,.22,3,Mcf,3,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-03,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,2,MMBtu per Mcf,2,.14,.14,2,Mcf,2,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-05,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,2,MMBtu per Mcf,2,.14,.14,2,Mcf,2,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-08,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,3,MMBtu per Mcf,3,.22,.22,3,Mcf,3,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-06,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,2,MMBtu per Mcf,2,.19,.19,2,Mcf,2,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
2022-04,66592,ERDC,NG,Natural Gas,MS,Mississippi,ALL,2,MMBtu per Mcf,2,.13,.13,2,Mcf,2,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-90.859867,32.3103,10780.0,23545.0,66592.0,ERDC,55937.0,Entergy Texas Inc.,Electric Utility,3909 Hally Ferry Road,Vicksburg,Warren,Mississippi,39180.0,natural gas,Natural Gas = 3.2 MW,Natural Gas Internal Combustion Engine,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-90.859867,32.3103
