period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2019-01,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,10,MMBtu per Mcf,10,.05,.05,1,Mcf,1,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
2020-04,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,5859,MMBtu per Mcf,6386,36.97,36.97,386,Mcf,421,1.09,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
2020-01,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,6642,MMBtu per Mcf,7240,41.91,41.91,438,Mcf,477,1.09,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
2019-07,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,16,MMBtu per Mcf,16,.08,.08,1,Mcf,1,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
2022-02,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,4360,MMBtu per Mcf,4665,23.62,23.62,251,Mcf,269,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
2019-12,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,13,MMBtu per Mcf,13,.07,.07,1,Mcf,1,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
2019-03,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,10,MMBtu per Mcf,10,.05,.05,1,Mcf,1,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
2022-04,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,4306,MMBtu per Mcf,4607,23.33,23.33,248,Mcf,265,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
2020-06,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,7416,MMBtu per Mcf,8083,46.8,46.8,488,Mcf,532,1.09,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
2021-09,62319,Western Sugar Cooperative - Billings,NG,Natural Gas,MT,Montana,ALL,8417,MMBtu per Mcf,9006,46.48,49.86,530,Mcf,567,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-108.499232,45.7653460000001,8652,20600,62319,Western Sugar Cooperative - Billings,61819,Western Sugar Cooperative  - Billings,Industrial CHP,3020 State Avenue,Billings,Yellowstone,Montana,59101,coal,Coal = 1.5 MW,Conventional Steam Coal,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-108.499232,45.765346
