period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2023-05,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,3682191,MMBtu per Mcf,3803703,363355.8,390460.23,3682191,Mcf,3803703,1.033,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
2020-12,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,249500,MMBtu per Mcf,258233,19027.91,23746.93,249500,Mcf,258233,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
2021-10,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,1907404,MMBtu per Mcf,1970348,180252.64,195068.05,1907404,Mcf,1970348,1.033,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
2021-03,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,1055621,MMBtu per Mcf,1089401,121998.36,130440.47,1055621,Mcf,1089401,1.032,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
2021-08,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,3055472,MMBtu per Mcf,3162414,316406.58,336093.53,3055472,Mcf,3162414,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
2022-06,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,7866758,MMBtu per Mcf,8110627,783865.05,848983.62,7866758,Mcf,8110627,1.031,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
2021-09,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,4442600,MMBtu per Mcf,4593648,431381.33,460366.46,4442600,Mcf,4593648,1.034,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
2022-03,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,4126101,MMBtu per Mcf,4274641,421281.43,451190.42,4126101,Mcf,4274641,1.036,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
2020-07,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,1429786,MMBtu per Mcf,1481258,156887.78,165621.07,1429786,Mcf,1481258,1.036,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
2021-11,8042,Belews Creek,NG,Natural Gas,NC,North Carolina,ALL,5367144,MMBtu per Mcf,5549627,533562.82,570097.63,5367144,Mcf,5549627,1.034,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.0603,36.2811,2334,13901,8042,Belews Creek,5416,"Duke Energy Carolinas, LLC",Electric Utility,3195 Pine Hall Road,Belews Creek,Stokes,North Carolina,27052,natural gas,Natural Gas = 2220 MW,Natural Gas Steam Turbine,2491.2,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.0603,36.2811
