period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2021-08,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,22316,MMBtu per Mcf,22762,1638,1638,10338,Mcf,10545,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
2023-04,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,27319,MMBtu per Mcf,27865,2387,2387,15066,Mcf,15367,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
2023-09,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,24870,MMBtu per Mcf,25367,2078,2078,13116,Mcf,13378,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
2022-08,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,28928,MMBtu per Mcf,29507,2512,2512,15855,Mcf,16172,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
2020-12,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,18173,MMBtu per Mcf,18536,1695,1695,10698,Mcf,10912,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
2020-11,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,30124,MMBtu per Mcf,30726,2639,2639,16656,Mcf,16989,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
2023-03,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,29248,MMBtu per Mcf,29833,2438,2438,15387,Mcf,15695,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
2023-05,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,15884,MMBtu per Mcf,16202,1344,1344,8482,Mcf,8652,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
2020-09,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,28902,MMBtu per Mcf,29480,2489,2489,15710,Mcf,16024,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
2019-07,10108,Hampton Facility,NG,Natural Gas,NH,New Hampshire,ALL,29501,MMBtu per Mcf,30091,2527,2527,15949,Mcf,16268,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-70.8405999999999,42.9383,2400,13967,10108,Hampton Facility,6636,Foss Manufacturing Company LLC,Industrial CHP,11 Merrill Industrial Drive,Hampton,Rockingham,New Hampshire,3842,natural gas,Natural Gas = 3.8 MW,Natural Gas Fired Combustion Turbine,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-70.8406,42.9383
