period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-05,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,7681,MMBtu per Mcf,7911,1089.76,1089.76,7681,Mcf,7911,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
2021-12,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,6907,MMBtu per Mcf,7114,964.95,964.95,6907,Mcf,7114,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
2021-01,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,5618,MMBtu per Mcf,5787,784.77,784.77,5618,Mcf,5787,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
2022-12,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,6521,MMBtu per Mcf,6717,925.1,925.1,6521,Mcf,6717,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
2022-09,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,9570,MMBtu per Mcf,9857,1357.63,1357.63,9570,Mcf,9857,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
2021-11,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,9159,MMBtu per Mcf,9434,1279.59,1279.59,9159,Mcf,9434,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
2021-09,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,9441,MMBtu per Mcf,9724,1318.96,1318.96,9441,Mcf,9724,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
2021-07,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,12603,MMBtu per Mcf,12981,1760.74,1760.74,12603,Mcf,12981,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
2022-10,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,8005,MMBtu per Mcf,8245,1135.72,1135.72,8005,Mcf,8245,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
2021-10,65194,AT&T Middletown,NG,Natural Gas,NJ,New Jersey,ALL,11205,MMBtu per Mcf,11541,1565.39,1565.39,11205,Mcf,11541,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-74.1348369999999,40.3978720000001,11176.0,22869.0,65194.0,AT&T Middletown,56778.0,Bloom Energy 2009 PPA,IPP Non-CHP,200 South Laurel Avenue,Middletown,Monmouth,New Jersey,7748.0,natural gas,Natural Gas = 2 MW,Other Natural Gas,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-74.134837,40.397872
