period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-10,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,558423,MMBtu per Mcf,580202,60815,62463,445922,Mcf,463313,1.039,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
2022-08,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,579446,MMBtu per Mcf,603203,63192,64904,462458,Mcf,481419,1.041,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
2020-06,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,545971,MMBtu per Mcf,561804,61097,62723,452129,Mcf,465241,1.029,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
2019-08,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,556487,MMBtu per Mcf,585425,63196,64788,456804,Mcf,480558,1.052,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
2022-07,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,584647,MMBtu per Mcf,604525,63211,64923,465725,Mcf,481559,1.034,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
2023-09,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,520441,MMBtu per Mcf,539698,61286,62988,450537,Mcf,467207,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
2019-01,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,541864,MMBtu per Mcf,562455,61295,62878,449317,Mcf,466391,1.038,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
2023-10,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
2021-12,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,556041,MMBtu per Mcf,581063,62262,63811,452929,Mcf,473311,1.045,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
2019-11,54350,Nevada Cogen Assoc#1 GarnetVly,NG,Natural Gas,NV,Nevada,ALL,535272,MMBtu per Mcf,560965,61171,62644,443373,Mcf,464655,1.048,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-114.920686,36.3432290000001,3283,14828,54350,Nevada Cogen Assoc#1 GarnetVly,13399,Nevada Cogeneration Assoc # 1,IPP CHP,11401 US 93 & I-15,Las Vegas,Clark,Nevada,89165,natural gas,Natural Gas = 85.5 MW,Natural Gas Fired Combined Cycle,94.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-114.920686,36.343229
