period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-02,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,90514,MMBtu per Mcf,99565,113.07,113.07,1169,Mcf,1286,1.1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
2020-06,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,82381,MMBtu per Mcf,91031,213.71,213.71,2200,Mcf,2431,1.105,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
2021-12,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,89066,MMBtu per Mcf,97973,123.97,123.97,1282,Mcf,1410,1.1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
2022-12,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,96232,MMBtu per Mcf,105855,120.21,120.21,1243,Mcf,1367,1.1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
2020-12,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,97973,MMBtu per Mcf,108260,254.16,254.16,2616,Mcf,2891,1.105,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
2021-06,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,79533,MMBtu per Mcf,87486,110.7,110.7,1145,Mcf,1259,1.1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
2022-07,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,100803,MMBtu per Mcf,110883,125.92,125.92,1302,Mcf,1432,1.1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
2022-10,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,77041,MMBtu per Mcf,84745,96.24,96.24,995,Mcf,1095,1.1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
2020-04,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,82554,MMBtu per Mcf,91222,214.16,214.16,2205,Mcf,2436,1.105,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
2019-06,61838,Cleveland Thermal,NG,Natural Gas,OH,Ohio,ALL,102129,MMBtu per Mcf,107746,374.72,374.72,4040,Mcf,4262,1.055,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-81.682272,41.5094,8245.0,20214.0,61838.0,Cleveland Thermal,61457.0,"Cleveland Thermal, LLC",Commercial CHP,1921 Hamilton Avenue,Cleveland,Cuyahoga,Ohio,44114.0,natural gas,Natural Gas = 1 MW,Natural Gas Steam Turbine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-81.682272,41.5094
