period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2020-07,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,12103,MMBtu per Mcf,12551,833.01,833.01,12103,Mcf,12551,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2022-10,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,25979,MMBtu per Mcf,26940,1855.21,1855.21,25979,Mcf,26940,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2020-09,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,7827,MMBtu per Mcf,8117,538.73,538.73,7827,Mcf,8117,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2021-03,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,6998,MMBtu per Mcf,7285,456.5,456.5,6998,Mcf,7285,1.041,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2019-10,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,6168,MMBtu per Mcf,6168,502.57,502.57,6168,Mcf,6168,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2021-06,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,11997,MMBtu per Mcf,12489,782.57,782.57,11997,Mcf,12489,1.041,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2019-12,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,9573,MMBtu per Mcf,9573,780.07,780.07,9573,Mcf,9573,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2022-11,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,22777,MMBtu per Mcf,23620,1626.53,1626.53,22777,Mcf,23620,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2022-07,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,46816,MMBtu per Mcf,48548,3343.17,3343.17,46816,Mcf,48548,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2021-07,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,13841,MMBtu per Mcf,14408,902.87,902.87,13841,Mcf,14408,1.041,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2022-03,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,13949,MMBtu per Mcf,14465,996.14,996.14,13949,Mcf,14465,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2019-11,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,7160,MMBtu per Mcf,7160,583.42,583.42,7160,Mcf,7160,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
2019-08,63628,Tinker,NG,Natural Gas,OK,Oklahoma,ALL,12873,MMBtu per Mcf,12873,1048.98,1048.98,12873,Mcf,12873,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.3734449999999,35.414719,11072.0,21690.0,63628.0,Tinker,14063.0,Oklahoma Gas & Electric Co,Electric Utility,3001 S Douglas Blvd,Oklahoma City,Oklahoma,Oklahoma,73145.0,natural gas,Natural Gas = 64 MW,Natural Gas Fired Combustion Turbine,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-97.373445,35.414719
