period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2021-12,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,1993960,MMBtu per Mcf,2091664,301368,307427,1993960,Mcf,2091664,1.049,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
2019-03,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,2042450,MMBtu per Mcf,2134360,309291,315269,2042450,Mcf,2134360,1.045,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
2019-08,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,2021860,MMBtu per Mcf,2108800,306235,312031,2021860,Mcf,2108800,1.043,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
2020-06,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,445840,MMBtu per Mcf,461444,64671,67060,445840,Mcf,461444,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
2022-01,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,1871703,MMBtu per Mcf,1957802,281196,286243,1871703,Mcf,1957802,1.046,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
2022-08,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,1840954,MMBtu per Mcf,1925638,280253,286005,1840954,Mcf,1925638,1.046,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
2022-03,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,1883352,MMBtu per Mcf,1960570,277500,283278,1883352,Mcf,1960570,1.041,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
2019-04,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,1564530,MMBtu per Mcf,1633370,232780,237745,1564530,Mcf,1633370,1.044,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
2022-09,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,1905276,MMBtu per Mcf,2010066,292555,298221,1905276,Mcf,2010066,1.055,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
2020-08,58503,Carty Generating Station,NG,Natural Gas,OR,Oregon,ALL,1910060,MMBtu per Mcf,1994103,300386,306061,1910060,Mcf,1994103,1.044,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-119.813056,45.698611,5541.0,17408.0,58503.0,Carty Generating Station,15248.0,Portland General Electric Co,Electric Utility,73396 Tower Road,Boardman,Morrow,Oregon,97818.0,natural gas,Natural Gas = 416.3 MW,Natural Gas Fired Combined Cycle,500.0,416.3,0.0,0.0,0.0,0.0,0.0,0.0,416.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-119.813056,45.698611
