period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2021-05,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,109619,MMBtu per Mcf,109619,10443.81,10656.95,102609,Mcf,102609,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
2021-11,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,141546,MMBtu per Mcf,141546,13485.67,13760.88,132494,Mcf,132494,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
2022-03,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,124961,MMBtu per Mcf,124961,12278.13,12528.7,119871,Mcf,119871,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
2020-06,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,159194,MMBtu per Mcf,159194,15154.25,15463.52,150964,Mcf,150964,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
2021-07,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,175301,MMBtu per Mcf,175301,16701.68,17042.53,164091,Mcf,164091,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
2020-10,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,112776,MMBtu per Mcf,112776,10735.58,10954.67,106946,Mcf,106946,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
2020-08,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,159502,MMBtu per Mcf,159502,15183.68,15493.55,151257,Mcf,151257,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
2022-12,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,70506,MMBtu per Mcf,70506,6927.57,7068.95,67634,Mcf,67634,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
2019-04,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,117484,MMBtu per Mcf,117484,10988.44,11212.69,109121,Mcf,109121,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
2021-06,61857,Toray Plastic America's CHP Plant,NG,Natural Gas,RI,Rhode Island,ALL,162714,MMBtu per Mcf,162714,15502.45,15818.82,152308,Mcf,152308,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-71.427609,41.593802,8261.0,20230.0,61857.0,Toray Plastic America's CHP Plant,61478.0,Toray Plastics America,Industrial CHP,42 Northrup Road,North Kingstown,Washington,Rhode Island,2852.0,natural gas,Natural Gas = 19.3 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine;,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-71.427609,41.593802
