period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2020-02,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,11642,MMBtu per Mcf,11991,783.07,889.84,9825,Mcf,10120,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
2022-03,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,3073,MMBtu per Mcf,3073,167.69,190.56,2167,Mcf,2167,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
2019-07,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,7218,MMBtu per Mcf,7435,453.3,498.13,7218,Mcf,7435,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
2020-11,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,9230,MMBtu per Mcf,9507,620.83,705.48,7790,Mcf,8024,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
2020-09,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,10986,MMBtu per Mcf,11316,738.93,839.68,9272,Mcf,9550,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
2022-10,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,4326,MMBtu per Mcf,4326,236.05,268.23,3051,Mcf,3051,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
2021-07,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,8392,MMBtu per Mcf,8392,498.48,566.45,6442,Mcf,6442,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
2019-08,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,6872,MMBtu per Mcf,7078,431.55,474.23,6872,Mcf,7078,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
2021-01,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,6793,MMBtu per Mcf,6793,403.69,458.73,5217,Mcf,5217,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
2022-04,58173,BMW Manufacturing Co,NG,Natural Gas,SC,South Carolina,ALL,2634,MMBtu per Mcf,2634,143.7,163.3,1857,Mcf,1857,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.178333,34.894167,5687.0,17118.0,58173.0,BMW Manufacturing Co,58144.0,BMW Manufacturing Co LLC,Industrial CHP,1400 Highway 101 South,Greer,Spartanburg,South Carolina,29651.0,biomass,Biomass = 10 MW,Landfill Gas,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.178333,34.894167
