period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2020-02,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,14613,MMBtu per Mcf,14613,1637.16,1637.16,14613,Mcf,14613,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
2022-01,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,10010,MMBtu per Mcf,10010,1103.97,1103.97,10010,Mcf,10010,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
2022-02,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,14361,MMBtu per Mcf,14361,1597.96,1597.96,14361,Mcf,14361,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
2019-07,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,14281,MMBtu per Mcf,14281,1553.71,1553.71,14281,Mcf,14281,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
2019-09,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,9958,MMBtu per Mcf,9958,1109.04,1109.04,9958,Mcf,9958,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
2021-03,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,15112,MMBtu per Mcf,15112,1685.65,1685.65,15112,Mcf,15112,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
2021-01,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,15726,MMBtu per Mcf,15726,1703.95,1703.95,15726,Mcf,15726,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
2023-10,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
2023-11,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
2022-07,59809,Mountain Home Energy Center,NG,Natural Gas,TN,Tennessee,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.377504,36.3096090000001,7147,18474,59809,Mountain Home Energy Center,58303,Energy Systems Group LLC,IPP Non-CHP,"Memorial Avenue, Building 208",Mountain Home,Washington,Tennessee,37684,petroleum,"Natural Gas = 3.2 MW, Petroleum = 3.6 MW",Natural Gas Internal Combustion Engine; Petroleum Liquids;,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.6,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-82.377504,36.309609
