period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-11,65380,Solomon Generating Facility,NG,Natural Gas,UT,Utah,ALL,17279,MMBtu per Mcf,17918,1816.36,1853.43,17279,Mcf,17918,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-113.563394,37.0300510000001,11536.0,22985.0,65380.0,Solomon Generating Facility,40230.0,Deseret Generation & Tran Coop,Electric Utility,4570 South River Road,St. George,Washington,Utah,84790.0,natural gas,Natural Gas = 14.9 MW,Natural Gas Internal Combustion Engine,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-113.563394,37.030051
2022-10,65380,Solomon Generating Facility,NG,Natural Gas,UT,Utah,ALL,16391,MMBtu per Mcf,16997,1723.01,1758.17,16391,Mcf,16997,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-113.563394,37.0300510000001,11536.0,22985.0,65380.0,Solomon Generating Facility,40230.0,Deseret Generation & Tran Coop,Electric Utility,4570 South River Road,St. George,Washington,Utah,84790.0,natural gas,Natural Gas = 14.9 MW,Natural Gas Internal Combustion Engine,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-113.563394,37.030051
2022-07,65380,Solomon Generating Facility,NG,Natural Gas,UT,Utah,ALL,16457,MMBtu per Mcf,17066,1729.95,1765.26,16457,Mcf,17066,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-113.563394,37.0300510000001,11536.0,22985.0,65380.0,Solomon Generating Facility,40230.0,Deseret Generation & Tran Coop,Electric Utility,4570 South River Road,St. George,Washington,Utah,84790.0,natural gas,Natural Gas = 14.9 MW,Natural Gas Internal Combustion Engine,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-113.563394,37.030051
2022-12,65380,Solomon Generating Facility,NG,Natural Gas,UT,Utah,ALL,18314,MMBtu per Mcf,18992,1925.11,1964.4,18314,Mcf,18992,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-113.563394,37.0300510000001,11536.0,22985.0,65380.0,Solomon Generating Facility,40230.0,Deseret Generation & Tran Coop,Electric Utility,4570 South River Road,St. George,Washington,Utah,84790.0,natural gas,Natural Gas = 14.9 MW,Natural Gas Internal Combustion Engine,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-113.563394,37.030051
2022-09,65380,Solomon Generating Facility,NG,Natural Gas,UT,Utah,ALL,17345,MMBtu per Mcf,17987,1823.26,1860.47,17345,Mcf,17987,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-113.563394,37.0300510000001,11536.0,22985.0,65380.0,Solomon Generating Facility,40230.0,Deseret Generation & Tran Coop,Electric Utility,4570 South River Road,St. George,Washington,Utah,84790.0,natural gas,Natural Gas = 14.9 MW,Natural Gas Internal Combustion Engine,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-113.563394,37.030051
2022-08,65380,Solomon Generating Facility,NG,Natural Gas,UT,Utah,ALL,17446,MMBtu per Mcf,18092,1833.86,1871.28,17446,Mcf,18092,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-113.563394,37.0300510000001,11536.0,22985.0,65380.0,Solomon Generating Facility,40230.0,Deseret Generation & Tran Coop,Electric Utility,4570 South River Road,St. George,Washington,Utah,84790.0,natural gas,Natural Gas = 14.9 MW,Natural Gas Internal Combustion Engine,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-113.563394,37.030051
2021-05,63423,BYU Central Heating Plant,NG,Natural Gas,UT,Utah,ALL,95345,MMBtu per Mcf,99636,9134.73,9134.73,95345,Mcf,99636,1.045,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-111.6462,40.24724,9868.0,21509.0,63423.0,BYU Central Heating Plant,63170.0,Brigham Young University (BYU),IPP CHP,1060 North East Campus Dr.,Provo,Utah,Utah,84602.0,natural gas,Natural Gas = 14 MW,Natural Gas Fired Combustion Turbine,16.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-111.6462,40.24724
2022-10,63423,BYU Central Heating Plant,NG,Natural Gas,UT,Utah,ALL,102845,MMBtu per Mcf,107679,9921.47,9921.47,102845,Mcf,107679,1.047,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-111.6462,40.24724,9868.0,21509.0,63423.0,BYU Central Heating Plant,63170.0,Brigham Young University (BYU),IPP CHP,1060 North East Campus Dr.,Provo,Utah,Utah,84602.0,natural gas,Natural Gas = 14 MW,Natural Gas Fired Combustion Turbine,16.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-111.6462,40.24724
2022-11,63423,BYU Central Heating Plant,NG,Natural Gas,UT,Utah,ALL,108417,MMBtu per Mcf,113513,10459,10459,108417,Mcf,113513,1.047,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-111.6462,40.24724,9868.0,21509.0,63423.0,BYU Central Heating Plant,63170.0,Brigham Young University (BYU),IPP CHP,1060 North East Campus Dr.,Provo,Utah,Utah,84602.0,natural gas,Natural Gas = 14 MW,Natural Gas Fired Combustion Turbine,16.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-111.6462,40.24724
2022-01,63423,BYU Central Heating Plant,NG,Natural Gas,UT,Utah,ALL,109299,MMBtu per Mcf,114436,10544.03,10544.03,109299,Mcf,114436,1.047,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-111.6462,40.24724,9868.0,21509.0,63423.0,BYU Central Heating Plant,63170.0,Brigham Young University (BYU),IPP CHP,1060 North East Campus Dr.,Provo,Utah,Utah,84602.0,natural gas,Natural Gas = 14 MW,Natural Gas Fired Combustion Turbine,16.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-111.6462,40.24724
