period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-12,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,78648,MMBtu per Mcf,81794,6854,6854,27422,Mcf,28519,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2020-02,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,79537,MMBtu per Mcf,82718,7084,7084,28342,Mcf,29476,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2020-09,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,88122,MMBtu per Mcf,91647,8123,8123,32500,Mcf,33800,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2020-06,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,83515,MMBtu per Mcf,86856,7496,7496,29991,Mcf,31191,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2019-04,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,79595,MMBtu per Mcf,82779,6501,6501,26011,Mcf,27051,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2023-09,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,90462,MMBtu per Mcf,94080,8647,8647,34596,Mcf,35980,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2023-10,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,102741,MMBtu per Mcf,106851,10163,10163,40662,Mcf,42288,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2022-07,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,101925,MMBtu per Mcf,106002,9916,9916,39673,Mcf,41260,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2020-05,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,53336,MMBtu per Mcf,55469,4637,4637,18552,Mcf,19294,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2020-07,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,90672,MMBtu per Mcf,94299,8409,8409,33644,Mcf,34990,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2023-05,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,89281,MMBtu per Mcf,92852,8250,8250,33008,Mcf,34328,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
2022-01,59860,HP Hood CT,NG,Natural Gas,VA,Virginia,ALL,106169,MMBtu per Mcf,110416,10552,10552,42218,Mcf,43907,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-78.187474,39.1325190000001,7309.0,18521.0,59860.0,HP Hood CT,59636.0,HP Hood LLC,Industrial CHP,160 Hood Way,Winchester,Frederick,Virginia,22602.0,natural gas,Natural Gas = 15 MW,Natural Gas Fired Combustion Turbine,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-78.187474,39.132519
