period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-07,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,1114,MMBtu per Mcf,1114,4.82,4.97,22,Mcf,22,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
2022-09,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,3147,MMBtu per Mcf,3147,23.44,24.16,108,Mcf,108,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
2022-03,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,4202,MMBtu per Mcf,4202,50.9,52.47,236,Mcf,236,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
2022-06,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,106,MMBtu per Mcf,106,.65,.67,3,Mcf,3,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
2020-11,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,11086,MMBtu per Mcf,11086,155.11,159.91,718,Mcf,718,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
2022-10,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,1253,MMBtu per Mcf,1253,12.25,12.63,57,Mcf,57,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
2019-09,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,320,MMBtu per Mcf,320,4.39,4.52,20,Mcf,20,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
2023-02,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,11175,MMBtu per Mcf,11175,131.38,135.44,608,Mcf,608,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
2021-12,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,16091,MMBtu per Mcf,16091,226.94,233.96,1050,Mcf,1050,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
2023-08,57804,Middlebury College,NG,Natural Gas,VT,Vermont,ALL,12270,MMBtu per Mcf,12270,81.38,83.9,377,Mcf,377,1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-73.1769439999999,44.0075000000001,4913,16810,57804,Middlebury College,57123,Middlebury College Biomass,Commercial CHP,84 South Service Road,Middlebury,Addison,Vermont,5753,biomass,Biomass = 0.7 MW,Wood/Wood Waste Biomass,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-73.176944,44.0075
