period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2022-01,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,878946,MMBtu per Mcf,961567,125384,128719,878946,Mcf,961567,1.094,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2020-04,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,1418308,MMBtu per Mcf,1551629,213674,218560,1418308,Mcf,1551629,1.094,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2022-08,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,1611563,MMBtu per Mcf,1766273,236233,242244,1611563,Mcf,1766273,1.096,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2021-07,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,1341756,MMBtu per Mcf,1473248,195074,200425,1341756,Mcf,1473248,1.098,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2021-11,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,730411,MMBtu per Mcf,801991,104208,107425,730411,Mcf,801991,1.098,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2021-03,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,1657731,MMBtu per Mcf,1818531,244377,249617,1657731,Mcf,1818531,1.097,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2020-06,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,593962,MMBtu per Mcf,649200,84048,86916,593962,Mcf,649200,1.093,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2021-09,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,1617730,MMBtu per Mcf,1764943,242514,248539,1617730,Mcf,1764943,1.091,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2022-05,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,0,MMBtu per Mcf,0,-471,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2022-06,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,35177,MMBtu per Mcf,38448,2871,3542,35177,Mcf,38448,1.093,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
2023-09,55662,Chehalis Generating Facility,NG,Natural Gas,WA,Washington,ALL,1491367,MMBtu per Mcf,1634538,217426,223218,1491367,Mcf,1634538,1.096,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-122.9131,46.6225000000001,2860,15403,55662,Chehalis Generating Facility,14354,PacifiCorp,Electric Utility,1813 Bishop Road,Chehalis,Lewis,Washington,98532,natural gas,Natural Gas = 477 MW,Natural Gas Fired Combined Cycle,698.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-122.9131,46.6225
