period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2021-08,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,3159,MMBtu per Mcf,3383,251.48,285.95,3159,Mcf,3383,1.071,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
2021-05,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,4438,MMBtu per Mcf,4753,331.89,378.83,4438,Mcf,4753,1.071,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
2020-01,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,87622,MMBtu per Mcf,89988,6553.08,7477.07,87622,Mcf,89988,1.027,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
2022-06,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,3004,MMBtu per Mcf,3217,226.03,256.13,3004,Mcf,3217,1.071,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
2020-12,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,8842,MMBtu per Mcf,9081,668.25,758.95,8842,Mcf,9081,1.027,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
2022-05,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,1972,MMBtu per Mcf,2112,155.12,175.34,1972,Mcf,2112,1.071,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
2021-11,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,1104,MMBtu per Mcf,1182,91.05,102.38,1104,Mcf,1182,1.071,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
2019-06,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,2173,MMBtu per Mcf,2195,158.07,180.77,2173,Mcf,2195,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
2019-08,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,9026,MMBtu per Mcf,9116,662.92,759.4,9026,Mcf,9116,1.01,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
2022-12,10151,Grant Town Power Plant,NG,Natural Gas,WV,West Virginia,ALL,1730,MMBtu per Mcf,1853,132.96,154.77,1730,Mcf,1853,1.071,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-80.1631379999999,39.561831,2552,13987,10151,Grant Town Power Plant,563,American Bituminous Power LP,IPP Non-CHP,228 ABPP Drive,Grant Town,Marion,West Virginia,26574,coal,Coal = 80 MW,Conventional Steam Coal,95.7,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-80.163138,39.561831
