period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude,LATITUDE,LONGITUDE,DATE,TEMP,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP
2020-01-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,84432,MMBtu per Mcf,88822,0.0,0.0,0,Mcf,0,1.052,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2020-01-01,30.729032258064517,8.580645161290322,15.383870967741935,0.0,34.8258064516129,27.370967741935484,0.0,0.0
2020-12-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,11343,MMBtu per Mcf,11910,0.0,0.0,0,Mcf,0,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2020-12-01,32.380645161290325,9.235483870967743,14.874193548387098,0.0,36.44516129032258,29.370967741935484,0.0,0.0
2023-08-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,109965,MMBtu per Mcf,115463,0.0,0.0,0,Mcf,0,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2023-08-01,67.80967741935484,8.648387096774194,15.62258064516129,0.0,74.9258064516129,61.73548387096774,0.0,0.0
2023-04-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,12548,MMBtu per Mcf,13075,0.0,0.0,0,Mcf,0,1.042,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2023-04-01,47.19666666666667,8.24,14.860000000000001,0.0,56.623333333333335,39.55,0.0,0.0
2023-02-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,96587,MMBtu per Mcf,101127,0.0,0.0,0,Mcf,0,1.047,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2023-02-01,31.228571428571428,8.625,16.435714285714287,0.0,41.103571428571435,25.392857142857142,0.0,0.0
2022-11-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,99350,MMBtu per Mcf,103622,0.0,0.0,0,Mcf,0,1.043,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2022-11-01,42.873333333333335,8.639999999999999,14.563333333333334,0.0,50.50666666666667,36.980000000000004,0.0,0.0
2020-10-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,98493,MMBtu per Mcf,104107,13.0,13.0,140,Mcf,148,1.057,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2020-10-01,49.57096774193548,8.974193548387097,16.335483870967742,0.0,56.119354838709675,43.89032258064516,0.0,0.0
2022-05-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0.0,0.0,0,Mcf,0,0.0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2022-05-01,51.78064516129032,7.912903225806452,14.741935483870968,0.0,59.5,47.096774193548384,0.0,0.0
2023-10-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,110452,MMBtu per Mcf,116416,0.0,0.0,0,Mcf,0,1.054,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2023-10-01,54.0,8.209677419354838,13.751612903225807,0.0,60.60322580645161,48.774193548387096,0.0,0.0
2020-11-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,98333,MMBtu per Mcf,103938,23.0,23.0,248,Mcf,262,1.057,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2020-11-01,44.34666666666667,9.606666666666666,16.106666666666666,0.0,51.519999999999996,39.0,0.0,0.0
